rikishi1,odds1,rikishi2,odds2,ts
Arawashi,1.8,Ura,2.01,2017-05-13 09:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 09:00:01
Goeido,1.3,Okinoumi,3.52,2017-05-13 09:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 09:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 09:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 09:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 09:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 09:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 09:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 09:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 09:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 09:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 09:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 09:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 09:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 09:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 09:00:01
Terunofuji,1.45,Endo,2.76,2017-05-13 09:00:01
Tochiozan,1.6099999999999999,Takanoiwa,2.3200000000000003,2017-05-13 09:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 09:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 10:00:02
Daishomaru,1.9,Onosho,1.9,2017-05-13 10:00:02
Goeido,1.3,Okinoumi,3.52,2017-05-13 10:00:02
Hakuho,1.1,Chiyonokuni,7,2017-05-13 10:00:02
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 10:00:02
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 10:00:02
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 10:00:02
Kaisei,1.53,Yutakayama,2.51,2017-05-13 10:00:02
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 10:00:02
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 10:00:02
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 10:00:02
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 10:00:02
Shodai,1.6,Takekaze,2.34,2017-05-13 10:00:02
Shohozan,1.88,Takakeisho,1.92,2017-05-13 10:00:02
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 10:00:02
Takayasu,1.55,Daieisho,2.45,2017-05-13 10:00:02
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 10:00:02
Terunofuji,1.45,Endo,2.76,2017-05-13 10:00:02
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 10:00:02
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 10:00:02
Arawashi,1.8,Ura,2.01,2017-05-13 11:00:02
Daishomaru,1.9,Onosho,1.9,2017-05-13 11:00:02
Goeido,1.3,Okinoumi,3.52,2017-05-13 11:00:02
Hakuho,1.1,Chiyonokuni,7,2017-05-13 11:00:02
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 11:00:02
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 11:00:02
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 11:00:02
Kaisei,1.53,Yutakayama,2.51,2017-05-13 11:00:02
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 11:00:02
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 11:00:02
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 11:00:02
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 11:00:02
Shodai,1.6,Takekaze,2.34,2017-05-13 11:00:02
Shohozan,1.88,Takakeisho,1.92,2017-05-13 11:00:02
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 11:00:02
Takayasu,1.55,Daieisho,2.45,2017-05-13 11:00:02
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 11:00:02
Terunofuji,1.45,Endo,2.76,2017-05-13 11:00:02
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 11:00:02
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 11:00:02
Arawashi,1.8,Ura,2.01,2017-05-13 12:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 12:00:01
Goeido,1.3,Okinoumi,3.52,2017-05-13 12:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 12:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 12:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 12:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 12:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 12:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 12:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 12:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 12:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 12:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 12:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 12:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 12:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 12:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 12:00:01
Terunofuji,1.45,Endo,2.76,2017-05-13 12:00:01
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 12:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 12:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 13:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 13:00:01
Goeido,1.3,Okinoumi,3.52,2017-05-13 13:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 13:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 13:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 13:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 13:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 13:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 13:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 13:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 13:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 13:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 13:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 13:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 13:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 13:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 13:00:01
Terunofuji,1.45,Endo,2.76,2017-05-13 13:00:01
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 13:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 13:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 14:00:02
Daishomaru,1.9,Onosho,1.9,2017-05-13 14:00:02
Goeido,1.3,Okinoumi,3.52,2017-05-13 14:00:02
Hakuho,1.1,Chiyonokuni,7,2017-05-13 14:00:02
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 14:00:02
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 14:00:02
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 14:00:02
Kaisei,1.53,Yutakayama,2.51,2017-05-13 14:00:02
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 14:00:02
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 14:00:02
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 14:00:02
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 14:00:02
Shodai,1.6,Takekaze,2.34,2017-05-13 14:00:02
Shohozan,1.88,Takakeisho,1.92,2017-05-13 14:00:02
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 14:00:02
Takayasu,1.55,Daieisho,2.45,2017-05-13 14:00:02
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 14:00:02
Terunofuji,1.45,Endo,2.76,2017-05-13 14:00:02
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 14:00:02
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 14:00:02
Arawashi,1.8,Ura,2.01,2017-05-13 15:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 15:00:01
Goeido,1.3,Okinoumi,3.52,2017-05-13 15:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 15:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 15:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 15:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 15:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 15:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 15:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 15:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 15:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 15:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 15:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 15:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 15:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 15:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 15:00:01
Terunofuji,1.45,Endo,2.76,2017-05-13 15:00:01
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 15:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 15:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 16:00:02
Daishomaru,1.9,Onosho,1.9,2017-05-13 16:00:02
Goeido,1.3,Okinoumi,3.52,2017-05-13 16:00:02
Hakuho,1.1,Chiyonokuni,7,2017-05-13 16:00:02
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 16:00:02
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 16:00:02
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 16:00:02
Kaisei,1.53,Yutakayama,2.51,2017-05-13 16:00:02
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 16:00:02
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 16:00:02
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 16:00:02
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 16:00:02
Shodai,1.6,Takekaze,2.34,2017-05-13 16:00:02
Shohozan,1.88,Takakeisho,1.92,2017-05-13 16:00:02
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 16:00:02
Takayasu,1.55,Daieisho,2.45,2017-05-13 16:00:02
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 16:00:02
Terunofuji,1.45,Endo,2.76,2017-05-13 16:00:02
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 16:00:02
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 16:00:02
Arawashi,1.8,Ura,2.01,2017-05-13 17:00:02
Daishomaru,1.9,Onosho,1.9,2017-05-13 17:00:02
Goeido,1.3,Okinoumi,3.52,2017-05-13 17:00:02
Hakuho,1.1,Chiyonokuni,7,2017-05-13 17:00:02
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 17:00:02
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 17:00:02
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 17:00:02
Kaisei,1.53,Yutakayama,2.51,2017-05-13 17:00:02
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 17:00:02
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 17:00:02
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 17:00:02
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 17:00:02
Shodai,1.6,Takekaze,2.34,2017-05-13 17:00:02
Shohozan,1.88,Takakeisho,1.92,2017-05-13 17:00:02
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 17:00:02
Takayasu,1.55,Daieisho,2.45,2017-05-13 17:00:02
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 17:00:02
Terunofuji,1.45,Endo,2.76,2017-05-13 17:00:02
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 17:00:02
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 17:00:02
Arawashi,1.8,Ura,2.01,2017-05-13 18:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 18:00:01
Goeido,1.3,Okinoumi,3.52,2017-05-13 18:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 18:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 18:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 18:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 18:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 18:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 18:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 18:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 18:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 18:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 18:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 18:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 18:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 18:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 18:00:01
Terunofuji,1.45,Endo,2.76,2017-05-13 18:00:01
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 18:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 18:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 19:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 19:00:01
Goeido,1.32,Okinoumi,3.4,2017-05-13 19:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 19:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 19:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 19:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 19:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 19:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 19:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 19:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 19:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 19:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 19:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 19:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 19:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 19:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 19:00:01
Terunofuji,1.48,Endo,2.67,2017-05-13 19:00:01
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 19:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 19:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 20:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 20:00:01
Goeido,1.32,Okinoumi,3.4,2017-05-13 20:00:01
Hakuho,1.1,Chiyonokuni,7,2017-05-13 20:00:01
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 20:00:01
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 20:00:01
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 20:00:01
Kaisei,1.53,Yutakayama,2.51,2017-05-13 20:00:01
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 20:00:01
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 20:00:01
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 20:00:01
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 20:00:01
Shodai,1.6,Takekaze,2.34,2017-05-13 20:00:01
Shohozan,1.88,Takakeisho,1.92,2017-05-13 20:00:01
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 20:00:01
Takayasu,1.55,Daieisho,2.45,2017-05-13 20:00:01
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 20:00:01
Terunofuji,1.48,Endo,2.67,2017-05-13 20:00:01
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 20:00:01
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 20:00:01
Arawashi,1.8,Ura,2.01,2017-05-13 21:00:02
Daishomaru,1.9,Onosho,1.9,2017-05-13 21:00:02
Goeido,1.34,Okinoumi,3.28,2017-05-13 21:00:02
Hakuho,1.12,Chiyonokuni,6.4,2017-05-13 21:00:02
Harumafuji,1.4,Kotoshogiku,2.96,2017-05-13 21:00:02
Ichinojo,1.7,Sokokurai,2.15,2017-05-13 21:00:02
Ikioi,1.6,Hokutofuji,2.34,2017-05-13 21:00:02
Kaisei,1.53,Yutakayama,2.51,2017-05-13 21:00:02
Kakuryu,1.35,Mitakeumi,3.2,2017-05-13 21:00:02
Kisenosato,1.26,Yoshikaze,3.86,2017-05-13 21:00:02
Kotoyuki,1.7,Toyohibiki,2.15,2017-05-13 21:00:02
Myogiryu,1.58,Chiyotairyu,2.38,2017-05-13 21:00:02
Shodai,1.6,Takekaze,2.34,2017-05-13 21:00:02
Shohozan,1.88,Takakeisho,1.92,2017-05-13 21:00:02
Takarafuji,2.34,Aoiyama,1.6,2017-05-13 21:00:02
Takayasu,1.55,Daieisho,2.45,2017-05-13 21:00:02
Tamawashi,1.48,Chiyoshoma,2.65,2017-05-13 21:00:02
Terunofuji,1.48,Endo,2.67,2017-05-13 21:00:02
Tochiozan,1.6600000000000001,Takanoiwa,2.2199999999999998,2017-05-13 21:00:02
Tokushoryu,2.08,Ishiura,1.75,2017-05-13 21:00:02
Arawashi,1.8,Ura,2.01,2017-05-13 22:00:01
Daishomaru,1.9,Onosho,1.9,2017-05-13 22:00:01
Goeido,1.34,Okinoumi,3.28,2017-05-13 22:00:01
